Data Set Property,Sorting Algorithm,Number Of Elements,Trial #1,Trial #2,Trial #3,Trial #4,Trial #5,Trial #6
Nearly Sorted,Quicksort,500,0.022775888442993164,0.023277997970581055,0.022572994232177734,0.022692203521728516,0.019429922103881836,0.021416902542114258
Nearly Sorted,Quicksort,1000,0.09765100479125977,0.11829304695129395,0.11128783226013184,0.11125373840332031,0.11374282836914062,0.10806989669799805
Nearly Sorted,Quicksort,2000,0.45212697982788086,0.40020179748535156,0.42110705375671387,0.42577576637268066,0.4204111099243164,0.4135401248931885
Nearly Sorted,Quicksort,3000,0.9138660430908203,0.9120748043060303,0.9440629482269287,0.9110150337219238,0.9316580295562744,0.9473679065704346
Nearly Sorted,Quicksort,4000,1.6548991203308105,1.7318298816680908,1.6813082695007324,1.6602349281311035,1.7149052619934082,1.6582322120666504
Nearly Sorted,Quicksort,5000,2.6715707778930664,2.6523218154907227,2.6353631019592285,2.658522129058838,2.6262247562408447,2.607056140899658
Nearly Sorted,Quicksort,6000,3.7816388607025146,3.801699161529541,3.793259620666504,3.765407085418701,3.7943029403686523,3.8209269046783447
Nearly Sorted,Quicksort,7000,5.181390047073364,5.347677230834961,5.171182155609131,5.188981056213379,5.1753480434417725,5.186016082763672
Nearly Sorted,Quicksort,8000,6.75111985206604,6.700466156005859,6.67246413230896,6.683450937271118,6.7009429931640625,6.6622560024261475
Nearly Sorted,Quicksort,9000,8.420287847518921,8.475610256195068,8.467436075210571,8.436500072479248,8.397478818893433,8.425264835357666
Nearly Sorted,Quicksort,10000,10.360338926315308,10.405033111572266,10.442764043807983,10.365898132324219,10.326198816299438,10.328773736953735
Nearly Sorted,Merge Sort,100,0.0002281665802001953,0.0002510547637939453,0.00023412704467773438,0.00023293495178222656,0.00024509429931640625,0.00023412704467773438
Nearly Sorted,Merge Sort,500,0.001600027084350586,0.0015900135040283203,0.0016169548034667969,0.0015370845794677734,0.0015001296997070312,0.0014019012451171875
Nearly Sorted,Merge Sort,1000,0.004674196243286133,0.0038709640502929688,0.0036542415618896484,0.0037949085235595703,0.004096031188964844,0.003448009490966797
Nearly Sorted,Merge Sort,2000,0.0068891048431396484,0.007233142852783203,0.007231950759887695,0.009268045425415039,0.005716085433959961,0.0062220096588134766
Nearly Sorted,Merge Sort,3000,0.011515140533447266,0.011327028274536133,0.011804819107055664,0.011697769165039062,0.011095046997070312,0.011366844177246094
Nearly Sorted,Merge Sort,4000,0.013013839721679688,0.01609492301940918,0.01577591896057129,0.014616727828979492,0.012749671936035156,0.013958930969238281
Nearly Sorted,Merge Sort,5000,0.01615309715270996,0.019837141036987305,0.01916790008544922,0.020748138427734375,0.020111083984375,0.020720958709716797
Nearly Sorted,Merge Sort,6000,0.023546218872070312,0.024943113327026367,0.020922183990478516,0.024540185928344727,0.02014899253845215,0.02202892303466797
Nearly Sorted,Merge Sort,7000,0.028652191162109375,0.029143095016479492,0.02936697006225586,0.029122114181518555,0.02882695198059082,0.029297828674316406
Nearly Sorted,Merge Sort,8000,0.03317523002624512,0.030630111694335938,0.0339047908782959,0.03341484069824219,0.034085988998413086,0.03189802169799805
Nearly Sorted,Merge Sort,9000,0.038186073303222656,0.038986921310424805,0.035002946853637695,0.03682899475097656,0.03815293312072754,0.0395350456237793
Nearly Sorted,Merge Sort,10000,0.04317498207092285,0.04075789451599121,0.04146599769592285,0.041229963302612305,0.03668808937072754,0.04122424125671387
Nearly Sorted,Insertion Sort,100,2.4080276489257812e-05,3.218650817871094e-05,1.9311904907226562e-05,2.6702880859375e-05,3.1948089599609375e-05,2.193450927734375e-05
Nearly Sorted,Insertion Sort,500,0.0001800060272216797,0.00017905235290527344,0.00019288063049316406,0.00011277198791503906,0.0001518726348876953,0.0001709461212158203
Nearly Sorted,Insertion Sort,1000,0.00021195411682128906,0.00043702125549316406,0.0003399848937988281,0.0003859996795654297,0.0003383159637451172,0.0002880096435546875
Nearly Sorted,Insertion Sort,2000,0.0006358623504638672,0.0007040500640869141,0.0008480548858642578,0.0006730556488037109,0.0005447864532470703,0.0006518363952636719
Nearly Sorted,Insertion Sort,3000,0.0010409355163574219,0.000978231430053711,0.001203298568725586,0.0008199214935302734,0.0011327266693115234,0.0009682178497314453
Nearly Sorted,Insertion Sort,4000,0.0011668205261230469,0.0016779899597167969,0.0010247230529785156,0.0009920597076416016,0.0009357929229736328,0.0009450912475585938
Nearly Sorted,Insertion Sort,5000,0.0009670257568359375,0.0015141963958740234,0.0012750625610351562,0.0021529197692871094,0.001810312271118164,0.002051115036010742
Nearly Sorted,Insertion Sort,6000,0.002040863037109375,0.0022919178009033203,0.0024662017822265625,0.002118825912475586,0.0022001266479492188,0.0018091201782226562
Nearly Sorted,Insertion Sort,7000,0.0016739368438720703,0.0019326210021972656,0.0016808509826660156,0.0019290447235107422,0.0015740394592285156,0.0016520023345947266
Nearly Sorted,Insertion Sort,8000,0.0019567012786865234,0.0020377635955810547,0.003000974655151367,0.0026230812072753906,0.0023810863494873047,0.0022118091583251953
Nearly Sorted,Insertion Sort,9000,0.0028727054595947266,0.0037529468536376953,0.0028219223022460938,0.003512859344482422,0.0018622875213623047,0.0037479400634765625
Nearly Sorted,Insertion Sort,10000,0.0023391246795654297,0.002045154571533203,0.0024328231811523438,0.002953052520751953,0.002638101577758789,0.0027818679809570312
